Author,PublishedAt,Comment,Likes
@yasrilujb6549,2024-04-30T02:34:08Z,Kami sbg rakyat dari awal sudah yakin juga akan terjadi kecurangan seperti ini. Penilaian sy Presiden ini bnyak bohongnya dan masalah aturan hukum  sudah berada dlm saku celananya. Didlam saku bajunya penuh berisi uang. Belum ada putaranpun 99% kemenangan sdh berada pd salah satu paslon yg didukung presiden Jokowi. Saya yakin dlm 1 priode ini juga Gibran menjadi orang no.1 sbg Presiden Indoneia yg terpopuler di dunia,2
@lativala9128,2024-04-29T08:49:39Z,Ini pilm  yg sekarang  ter jadi di indonesia,1
@dmumite0674,2024-04-26T05:59:28Z,"Kalian semua yg komen dan ada disini sedang di giring ke saling benci satu sama lain, bukannya secara gars besar politik itu tidak ada yg jujur ,siapapun itu selma ada di dunia politik ..jadi jngan lah terpecah belah ,semoga saja indonesia ini menjadi lebih baik .",1
@FootballStory02,2024-04-25T16:15:21Z,Taik,0
@ErdutraRatus,2024-04-24T09:24:34Z,dibayar ganjar piro leng,0
@ekkoa14,2024-04-23T14:39:48Z,Suhartoyo apakah dilobi2?,0
@TEREKAMChannel,2024-04-23T11:06:33Z,"<b>Sepertinya MK minta dibuatkan film khusus. Lanjutkan, ungkap dirty2 lainnya. Rakyat muak dengan ketidakadilan.</b>",3
@Public_enemy22,2024-04-23T09:45:43Z,Tai tai,1
@makcob,2024-04-23T08:09:17Z,"knpa kalian gjd saksi kmrn? krna kalian mengatakan di film ini bhwa data2 yg diambil objektif dan fakta, hrsnya bsa dijadikan bukti2 kuat ketika saksi kmrn kan? tp kenapa tidak ada satupun kalian yg hadir mnjadi saksi?",0
@firlanaaproject,2024-04-23T07:49:45Z,ini yang bikin film pihak nya siapa ya,0
@LembuRebuskesukaanmama,2024-04-23T07:35:17Z,apakabar,0
@88jeans88,2024-04-22T13:56:33Z,"Bua ha ha hak cuiy 🤮 konten sampah, tai busuk di depan hidung tidak kecium, terasi di pulau seberang diendus-endus 😵‍💫",0
@atirpuspita2145,2024-04-22T10:10:16Z,Dah gagal 😢😂,0
@putusuardita337,2024-04-22T09:58:06Z,Semua kru tlg siapkan mental anda utk menyaksikan pelantikan pak Prabowo 😂😂😂,0
@arsanarsan312,2024-04-20T15:19:52Z,Film tai 😂😂😂😂,0
@puteng14,2024-04-20T12:26:03Z,"Dan mereka si bodoh dan mereka yg munafik percaya, pemeran dokumenter ini penyebar hoax 😅 <br>Padahal didepan mata fakta ini .",2
@marciamailoa,2024-04-19T11:01:44Z,"Terima kasih atas keberanian Zainal Arifin Mochtar, Bivitri Susanti, Feri Amsari dan seluruh team yang terlibat dalam film dokumenter Dirty Vote yang sagat edukatif &amp; informatif ini. <br><br>Terima kasih, Tuhan Yesus memberkati dan tolong negri tercinta kita ini... ⚪",31
@sandraerlina2268,2024-04-18T01:21:33Z,"Film yg bikin rusuh,",0
@HackAndLearn-em9wr,2024-04-16T06:24:32Z,Pada naif jir warga Netizen +62 😂😂😂 pada bereaksi cott 😂😂😢😢,1
@Deded-iu4qr,2024-04-15T08:41:17Z,terimakasih setelah menonton film ini saya tambah yakin untuk memilih pa prabowo...karena bagi saya pasangan pasangan yg menyebarkan black kampaign itu  adalah pasangan yg tidak layak utk dipilih..Allahu Akbar,1
@andirayoutubechannelammard2398,2024-04-13T14:52:25Z,pemilu berikutnya w uda tau siapa yg menang 😂,0
@TryDayat,2024-04-11T20:58:19Z,"Film toblo,,,bisa fitnah seumur2, menggiring opini pemikiran yang kalian asumsi itu adalah kenetralan,inimah isinya propaganda bung,,halus kesannya yang di sampaikan tapi seperti bisa yang racunnya memecah belah,,,gak bisa buat   film yang isinya supaya Indonesia lebih maju gitu,,,apa memajukan masyarakat Indonesia dengan kemandirian  kek,,,gmn netral isinya lah wong narasumbernya udah berpihak,,,kamu sehat bang😂",0
@DenbagusSantoso,2024-04-11T02:45:57Z,Org indonesia udh pinter&quot; alsan memilih bukan krna bantuan indo msih bnyk org yg mmbutuhkan bntuan knpa bantuan dri pemerintah di usut ikut pemilihan..,0
@yogaanggara2706,2024-04-10T12:42:30Z,"FILM SAMPAH, I",0
@RizkiAndi-op7vy,2024-04-08T06:19:29Z,Kalah ya ? Yahhahaaha,0
@ragiltriastuti07,2024-04-08T04:08:43Z,"Masih mending film sexy killers yang kena semua 01 02. La ini😂 wkwkwkwkwk, 02 aja",0
@rahmatpauzi5841,2024-04-07T22:24:18Z,"Tahu kenapa Indonesia bisa dipimpin oleh orang yang sama selama 32 tahun? Karena rakyatnya malas berpolitik. Merasa politik cuman mainan para birokrat, mengacuhkannya begitu saja karena mereka merasa rakyat jelata yang tidak punya urgensi apa-apa untuk berpolitik. Yang terjadi para birokrat tersebut abai dari pengawasan rakyat, pelayan² itu lepas dari tuntutan² rakyat sebagai majikannya. Maka dibuatlah kebijakan yang ugal-ugalan. Rakyat tidak menyadarinya sampai tiba saatnya di masa hak² mereka telah direnggut, harga barang pokok naik tanpa diiringi kenaikan pdb perkapita, tanah-tanah adat dirampas, keluarga² mereka hilang, kebebasan berpendapat begitu mahal, nepotisme dimana-mana dimana kekuasaan hanya dimiliki oleh segelintir keluarga saja dan kehidupan mereka dipersulit dengan kebijakan² politik yang ada.<br><br>Pada akhirnya serangkaian skenario tsb menghasilkan akhir sebuah distopia di nekropolis : kelaparan dan kemiskinan rakyat sengaja dipelihara oleh negara, dengan tujuan agar saat pemerintah hadir di lautan kesengsaraan tsb rakyat menganggapnya pahlawan--walaupun kehadirannya begitu singkat dan nasib mereka tidak berubah sama sekali. Begitu seterusnya hingga negara tsb lagi-lagi dipimpin oleh segelintir orang yang sama, bahkan dengan terang²an memuja menantunya untuk menjadi presiden kembali meneruskan tirani mertuanya di masa lalu.<br><br>Mereka tidak belajar dari masa lalu, atau lebih tepatnya sengaja tidak dibiarkan belajar oleh negara agar golongan² itu² saja yang terus berkuasa. Selain kemiskinan, kebodohan juga perlu dipelihara agar mereka terus menerima kebutaan itu.<br><br>Maka benarlah kutipan Bertolt Brecht, Buta terburuk adalah buta politik. Karena orang yang buta akan politik bukan hanya mempersulit dirinya sendiri, tapi juga mempersulit hidup orang lain dengan kebutaannya itu dan membiarkan para tirani yang sama terus berkuasa.",1
@aaprizal23,2024-04-07T16:11:07Z,"Bang Dandhy n team.. Tolong dong riset soal partai2,, terlebih partai2 feodal yg dr jaman gusdur sampe sekarang ketumnya ga ganti2 or kalo pun ada pergantian, yg gantiin itu anak/keluarganya. Presiden n Wapres cuma bisa dicalonkan via parpol, terus kita adain pemilu yg (katanya) demokratis, berharap dr proses itu lahir pemimpin yg demokratis. Logika saya: gimana mungkin demokratis bakal lahir dr partai2 yg feodal?  Feodalisme memungkinkan penyakit2 semodel kkn tuk hidup, karena segala sesuatu yg didasarkan bukan oleh ide/gagasan yg kuat pasti hasil dr proses transaksional.<br><br>Rakyat dipaksa utk percaya n mengakui kalo salah satu fungsi parpil adalah memberikan pendidikan pollitik. Tp sejauh ini pendidikan yg mereka ajarkan cuma soal politik uang, transaksi, mahalnya biaya pemilu, jadiin negara sbg legitimasi proyek sementara rakyatnya masih tetep tolol soal politik: ngedukung secara militan tanpa sadar dia ga dapet (kecuali mungkin buzzer) sepeser pun manfaat n bahkan berpotensi jadi korban jg. Pihak2 yg bikin rakyat saling ribut toh berbagi proyek yg sama, dikuasai oleh juragan yg sama. Ibarat wayang: meskioun saat kita nonton mereka pada ribut, toh tidurnya satu peti jg.<br><br>Gw golput dr jaman gusdur pe sekarang, tapi gw tetep mesti kena dampak kenaikan harga bbm, ilusi kenaikan umr (ga ada yg namanya kenaikan gaji, yg ada cuma penyesuaian karena inflasi), masih harus tunduk uu ite blabla. apapun or siapapun yg lu pilih or lu golput, lu mesti wajib tunduk sama produk2 politik hasil karya partai2 feodal ini. So, kayanya eksistensi parpol ini penting buat diteliti, karena segala bentuk kerusakan yg ada di negara ini pasti berasal dr orang2 parpol, karena cuma mereka yg punya kuasa utk menentukan: siapa yg jd presiden, siapa yg jd menteri n siapa yg jd pengawas konstitusi.",1
@jhon.m.e,2024-04-07T09:41:14Z,"KALIAN BER 3 SUDAH BERJUANG... KALIAN TELAH BERUSAHA MENJAGA DEMOKRASI ,MENJAGA KEUTUHAN DAN KONSISTENSI ATAS KONSTITUSI,TETAPI DIKALAHKAN OLEH MANUSIA TAK BERTANGGUNG JAWAB YANG AMBISI DLM KEPENTINGAN KELUARGA NYA SEHINGGA MEMPERKOSA KONSTITUSI DAN MENERABAS HUKUM. TAK MENGAPA PENGADILAN DI MAHKAMAH AMBURADUL , KITA HANYA TUNGGU MASA PENGADILAN DI AKHIRAT SAJA  KARNA INI MENYANGKUT KEUTUHAN DAN KONSISTENSI KONSTITUSIONAL YG DARI DAHULU TELAH DI JUANGKAN OLEH PAHLAWAN2 KITA. ALLAH MAHA MELIHAT LAGI MAHA MENGETAHUI DAN KITA SEMUA YG MELIHAT INI AKAN MEMINTA PERTANGGUNG JAWABAN MEREKA DI AKHIRAT NNTI ,SEE U TO AKHIRAT HAKIM MK YG MENGESAHKAN GIBRAN LOLOS 🙌.",1
@miftahussururabdulghoni3906,2024-04-06T22:25:08Z,Dirty fote orang gak waras😅😅,0
@AHMADAW-yw6nq,2024-04-05T10:07:48Z,PALING NGAKAK GW SAMA NIH FILM UDH JELEK-JELEKIN 02 MALAH 02 MENANG KASIHAN GW SAMA YG BIKIN NIH FILM UDH NGELUARIN DANA BANYAK BUAT BIKIN NIH FILM MALAH 01 24%😂,1
@FirllyFazrina19,2024-04-05T09:47:44Z,serem,0
@AnimeMomentID,2024-04-04T20:40:34Z,"Aowkwowwowk udah dibikinin film tetep kalah,,, kasian 😢",0
@ahmadrozzaaq6501,2024-04-03T15:47:57Z,Semuanya terbukti di sidang MK.,1
@Iyainaja1122Udah,2024-04-03T06:27:01Z,Isinya anak abah semua,3
@aianasa0157,2024-04-02T23:08:14Z,Serius nanya ini film atau apaan kok gak ada adegan actionnya 😩,2
@andiayie4561,2024-04-02T21:29:53Z,Film tdk jelas😂.. Makax capres anda nyusep,0
@Xenophy_o,2024-04-01T23:18:46Z,"<a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=2928"">48:48</a><br>BUKTI NETRAL",2
@rezaantonius,2024-04-01T16:55:21Z,sejuta terima kasih atas ketekunan dan kejujuran kalian. Perjuangan masih panjang. Kita bergerak bersama.,0
@capt.d.christ2910,2024-04-01T14:52:51Z,capek2 buat film yang ngejatuhin orang malah cuma dapet 16% 🤦‍♂️,0
@Anies727,2024-04-01T13:10:43Z,Terbaik untuk penegakan hukum dan dinasti..PAKAR HUKUM TERBAIK,0
@cemituxedo,2024-03-31T08:07:42Z,"Kebenaran akan menemukan jalannya sendiri, tidak ada kezhaliman yg tak berakhir",0
@dhika755,2024-03-30T21:28:13Z,Film op ik cokkk gk jelas blas,0
@pasyaheer4441,2024-03-30T14:11:48Z,"😂😂😂 &quot;tolong jadikan film ini sebagai landasan untuk anda melakukan penghukuman...&quot;, maksa banget dijadikan pedoman hukum.",1
@gago7243,2024-03-29T20:31:25Z,"Menit 13.47 papua pemekaran dari 2 provinsi menjadi 6 provinsi di tahun 2022.sedangkan Kalimantan Utara pemekaran di tahun 2013...bedanya Kalimantan utara tidak bisa ikut pemilu di tahun 2014 dan bisa ikut pemilu di 2019 sedangkan di Papua langsung bisa ikut pemilu,harusnya 4 provinsi itu bisa ikut pemilu di 2029.kenapa bisa begitu? Ya tanya aja pak lurah 🤣🤣🤣",0
@Mu1sa-88,2024-03-29T13:32:50Z,"Sampaikanlah kebenaran itu walaupun pahit dan pasti kebenaran itu pasti MENANG,Aamiin🤲🤲🤲💪❤️",1
@fahrizalradiansyah6164,2024-03-28T23:42:56Z,😴😴😪,0
@amandatrifaniiranti3161,2024-03-28T08:31:22Z,"<a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=2880"">48:00</a>-<a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=4320"">1:12:00</a>",0
@noonaeci8565,2024-03-28T06:51:26Z,SHARE,0
@DindaAnggraini-v9d,2024-03-27T15:43:39Z,"datang kesini utk ke2 kalinya, sblm pemilu &amp; stelah KPU mngeluarkan putusan pemilu, skrg sdg ada mnunggu putusan MK, &amp; singgh ksni utk liat nama hakim yg merusak demokrasi",0
@rijalhehe,2024-03-26T11:59:58Z,"Di komen terbaru banyak hate komen tapi gk bisa menyangkal data yg ada di video, emg susah mencerdaskan sdm Indonesia, cukup prihatin lihat pemilu yg kayak tai begini",3
@solifadli5322,2024-03-25T10:16:12Z,"Aku yang paling setuju dari semua ini, film dokumenter yang sangat luar biasa 🙏",0
@PublicStore-vx9td,2024-03-25T07:26:44Z,"<a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=1882"">31:22</a>",0
@Neroliquid,2024-03-25T06:42:03Z,Awokawok udah di buatin film masih kalah😂,0
@LegendaryShorts37,2024-03-24T21:11:17Z,Bagi kalian yg tidak memilih Jokowi mari bersama-sama kita do&#39;a kan tim dirty vote agar selalu sehat dan rezekinya lancar 🤲,3
@sempakkendor5142,2024-03-24T21:06:37Z,"<a href=""http://www.youtube.com/results?search_query=%23percumalapor"">#percumalapor</a>",0
@rayabitanoskar1501,2024-03-24T14:14:09Z,Sngja tinggl komn dsini. Saya tidak tau bngsa ini kedepan sprti apa. Saya cuma berhrp indonesia kedepan lbih baik dan maju sejhtra. <br>Apapun yg diktkn dlm film ini saya tetap berdri bersama bapak Jokowi. Yg mnrut saya presiden trbaik. Dan skrng saya memilih 02. ❤,0
@ALONE.196,2024-03-24T12:40:03Z,Pasti rugi bandar nieh😂😂😂,0
@Plottwist1end,2024-03-24T10:41:20Z,Jadi ingat kata iwanfals : BONGKAR,0
